address,partner,date,rcv_packet_count,snd_packet_count,tcp_count,udp_count,most_port,port_count,rcv_max_int,rcv_min_int,rcv_max_len,rcv_min_len,snd_max_int,snd_min_int,snd_max_len,snd_min_len,label
106.13.12.151,192.168.10.5,202306151158,7,8,15,0,8090,1,29.598007,0.039317,669,40,29.884553,1e-06,60,44,1
167.94.138.134,192.168.10.5,202306151159,2,1,3,0,2001,1,0.199745,0.199745,44,40,-10000,-10000,44,44,1
167.94.138.49,192.168.10.5,202306151159,14,9,23,0,2001,1,1.223962,9.8e-05,295,40,1.216611,0.0,60,52,1
209.141.51.76,192.168.10.5,202306151159,1,0,0,1,53,1,-10000,-10000,58,58,-10000,-10000,-10000,-10000,1
162.142.125.83,192.168.10.5,202306151159,2,1,3,0,20121,1,0.14964,0.14964,44,40,-10000,-10000,44,44,1
162.142.125.160,192.168.10.5,202306151159,4,2,6,0,2001,2,21.368146,0.144129,60,40,21.511791,21.511791,60,60,1
162.142.125.12,192.168.10.5,202306151159,13,9,22,0,20121,1,1.158031,0.0,295,52,1.153151,0.0,60,52,1
35.203.211.63,192.168.10.5,202306151159,1,1,2,0,700,1,-10000,-10000,44,44,-10000,-10000,40,40,1
162.216.150.227,192.168.10.5,202306151158,8,6,14,0,9995,1,47.448622,0.0,380,40,47.61754,0.0,60,44,1
128.1.42.231,192.168.10.5,202306151159,1,1,2,0,177,1,-10000,-10000,44,44,-10000,-10000,40,40,1
193.163.125.31,192.168.10.5,202306151159,2,1,3,0,9088,1,0.26068,0.26068,44,40,-10000,-10000,44,44,1
218.92.0.29,192.168.10.5,202306151200,1,1,2,0,22,1,-10000,-10000,40,40,-10000,-10000,52,52,1
87.236.176.98,192.168.10.5,202306151200,4,4,8,0,9088,1,1.25585,0.0,60,52,1.256304,0.0,60,52,1
79.124.62.130,192.168.10.5,202306151159,6,2,8,0,55170,2,42.487218,0.000626,44,40,42.767598,42.767598,44,44,1
172.105.82.111,192.168.10.5,202306151200,10,8,18,0,443,1,0.243713,0.0,295,52,0.243785,0.0,1487,40,1
78.128.113.250,192.168.10.5,202306151200,3,1,4,0,3392,1,0.290146,0.048874,44,40,-10000,-10000,44,44,1
43.130.57.239,192.168.10.5,202306151200,1,1,2,0,801,1,-10000,-10000,52,52,-10000,-10000,40,40,1
138.68.208.8,192.168.10.5,202306151159,5,10,15,0,1400,1,91.165452,1e-06,60,44,59.484544,0.0,60,44,1
35.203.210.78,192.168.10.5,202306151159,7,6,13,0,2990,1,48.591289,0.0,259,40,48.839945,0.0,60,44,1
192.241.234.10,192.168.10.5,202306151200,6,5,11,0,1400,1,1.12622,0.0,168,52,1.009051,0.0,60,52,1
218.92.0.118,192.168.10.5,202306151200,7,14,21,0,22,1,3.984305,0.0,76,52,20.368512,0.003321,699,52,1
113.62.160.110,192.168.10.5,202306151201,10,8,18,0,8090,1,7.644537,0.0,669,40,7.916806,1e-06,64,44,1
35.203.210.161,192.168.10.5,202306151200,7,6,13,0,20212,1,47.976391,1e-06,84,40,48.224518,0.0,60,44,1
167.248.133.173,192.168.10.5,202306151201,2,1,3,0,18182,1,0.141565,0.141565,44,40,-10000,-10000,44,44,1
167.248.133.50,192.168.10.5,202306151201,14,10,24,0,18182,1,1.146882,0.0,295,40,1.150399,0.0,60,40,1
205.210.31.133,192.168.10.5,202306151201,1,1,2,0,873,1,-10000,-10000,44,44,-10000,-10000,40,40,1
74.82.47.5,192.168.10.5,202306151200,71,53,124,0,443,1,53.848762,0.0,483,40,53.848566,0.0,1502,40,1
89.248.165.81,192.168.10.5,202306151202,3,1,4,0,9889,1,0.23776,0.003301,44,40,-10000,-10000,44,44,1
45.79.163.53,192.168.10.5,202306151201,13,29,42,0,7443,3,11.840293,0.000296,151,40,15.466663,0.0,44,40,1
162.216.149.148,192.168.10.5,202306151201,8,6,14,0,8126,1,43.609363,0.0,380,40,43.777772,1e-06,60,44,1
106.12.108.76,192.168.10.5,202306151202,5,3,8,0,6379,1,0.257991,0.000594,66,52,0.257947,0.223886,60,52,1
205.210.31.149,192.168.10.5,202306151202,1,1,2,0,111,1,-10000,-10000,44,44,-10000,-10000,40,40,1
79.124.62.130,192.168.10.5,202306151202,3,1,4,0,5149,1,0.287311,0.0,44,40,-10000,-10000,44,44,1
79.124.56.98,192.168.10.5,202306151202,2,1,3,0,80,1,0.284037,0.284037,44,40,-10000,-10000,44,44,1
162.142.125.253,192.168.10.5,202306151202,2,1,3,0,22584,1,0.15184,0.15184,44,40,-10000,-10000,44,44,1
162.142.125.160,192.168.10.5,202306151201,4,2,6,0,18182,2,54.58688,0.145065,60,40,54.733845,54.733845,60,60,1
198.235.24.92,192.168.10.5,202306151201,8,6,14,0,51401,1,42.865801,0.0,259,40,42.915159,0.0,60,44,1
