address,partner,date,rcv_packet_count,snd_packet_count,tcp_count,udp_count,most_port,port_count,rcv_max_int,rcv_min_int,rcv_max_len,rcv_min_len,snd_max_int,snd_min_int,snd_max_len,snd_min_len,label
150.158.34.228,192.168.10.5,202304121959,6,6,12,0,5900,1,0.501731,0.0,64,52,0.50173,0.000871,64,52,1
185.73.124.100,192.168.10.5,202304121959,4,3,7,0,3389,1,0.268273,0.000979,87,40,0.229537,0.033243,59,40,1
103.85.246.220,192.168.10.5,202304121958,1,6,7,0,5555,1,-10000,-10000,44,44,16.238905,1.019309,44,44,1
159.89.124.112,192.168.10.5,202304121959,23,18,41,0,8099,1,5.558376,0.000228,303,52,5.758969,0.0,60,52,1
192.168.3.118,172.29.148.192,202304121957,20,0,20,0,55443,1,12.854396,1.002076,60,60,-10000,-10000,-10000,-10000,0
119.93.23.178,192.168.10.5,202304121959,12,13,25,0,22,1,1.093545,0.000617,1028,52,0.975618,0.001345,699,52,1
157.7.216.227,192.168.10.5,202304121959,1,6,7,0,3388,1,-10000,-10000,44,44,16.238742,1.027808,44,44,1
107.170.226.10,192.168.10.5,202304121959,50,50,100,0,31337,1,1.129643,0.0,492,52,1.00889,0.0,60,52,1
220.134.165.98,192.168.10.5,202304121959,7,4,11,0,23,1,40.404868,0.016996,60,40,40.458627,0.057622,60,44,1
207.154.217.115,192.168.10.5,202304121959,4,4,8,0,36369,1,1.265443,0.00326,60,52,1.264396,0.0,60,52,1
179.60.147.13,192.168.10.5,202304121959,5,4,9,0,8446,1,1.235711,0.0,87,40,1.00873,0.0,52,40,1
97.88.115.107,192.168.10.5,202304121959,2,2,4,0,23,1,1.193343,1.193343,44,40,1.023506,1.023506,44,44,1
190.156.231.245,192.168.10.5,202304121959,12,13,25,0,22,1,1.268152,0.000347,1028,52,0.978346,0.001234,699,52,1
208.100.26.233,192.168.10.5,202304121959,195,147,342,0,993,1,0.15133,0.0,394,52,0.153283,0.0,1277,52,1
36.105.100.113,192.168.10.5,202304122000,5,5,10,0,5900,1,0.284197,0.000257,64,52,0.283202,0.00175,64,52,1
142.93.54.161,192.168.10.5,202304121959,1,6,7,0,9272,1,-10000,-10000,44,44,16.238791,1.012901,44,44,1
194.165.16.78,192.168.10.5,202304122000,15,12,27,0,7550,1,1.273466,0.0,84,40,1.008444,0.0,52,40,1
176.145.191.70,192.168.10.5,202304122000,12,14,26,0,22,1,1.287448,0.000297,1028,52,0.978368,0.00101,699,52,1
185.142.236.38,192.168.10.5,202304122000,19,15,34,0,3115,1,1.25331,0.0,303,40,1.408394,0.0,60,44,1
46.101.3.207,192.168.10.5,202304122000,4,4,8,0,4997,1,1.255624,0.0,60,52,1.25184,0.0,60,52,1
120.210.206.150,192.168.10.5,202304122000,12,13,25,0,22,1,1.090053,0.000342,1028,52,0.974209,0.001093,699,52,1
119.93.23.178,192.168.10.5,202304122000,12,14,26,0,22,1,1.121762,0.0,1028,52,1.01005,0.000447,699,52,1
173.249.49.200,192.168.10.5,202304122000,1,0,0,1,8080,1,-10000,-10000,68,68,-10000,-10000,-10000,-10000,1
91.191.209.202,192.168.10.5,202304122000,15,12,27,0,1983,3,30.242796,0.0,87,40,30.629091,0.0,52,40,1
170.64.178.140,192.168.10.5,202304122001,2,1,3,0,443,1,0.145094,0.145094,44,40,-10000,-10000,44,44,1
159.65.254.61,192.168.10.5,202304122001,1,1,2,0,106,1,-10000,-10000,44,44,-10000,-10000,40,40,1
104.218.165.182,192.168.10.5,202304122001,2,1,3,0,2090,1,0.239176,0.239176,44,40,-10000,-10000,44,44,1
163.47.37.186,192.168.10.5,202304122001,4,3,7,0,3389,1,0.2342,0.000592,83,40,0.211308,0.017753,59,40,1
194.165.16.78,192.168.10.5,202304122001,11,9,20,0,17156,1,1.277387,0.0,84,40,1.012204,0.0,52,40,1
