ex_address,in_address,timestamp,rcv_packet_count,snd_packet_count,tcp_count,udp_count,most_port,port_count,rcv_max_interval,rcv_min_interval,rcv_max_length,rcv_min_length,snd_max_interval,snd_min_interval,snd_max_length,snd_min_length,label
52.20.78.240,192.168.10.5,2022-08-17 08:50:56,9,6,15,0,51966,15,0.18158292770385742,0.17885899543762207,569,0,0.19274115562438965,0.0008521080017089844,6392,0,1
167.248.133.150,192.168.10.5,2022-08-17 08:51:22,1,2,3,0,4300,3,60.0,60.0,44,0,0.14361190795898438,0.14361190795898438,44,0,1
167.248.133.60,192.168.10.5,2022-08-17 08:51:23,11,14,25,0,4300,25,1.154684066772461,7.390975952148438e-05,60,0,1.1617228984832764,0.0008039474487304688,295,0,1
14.17.114.113,192.168.10.5,2022-08-17 08:51:23,6,1,7,0,3389,7,16.23923897743225,1.021752119064331,52,0,60.0,60.0,52,0,1
195.123.222.163,192.168.10.5,2022-08-17 08:51:25,6,1,7,0,80,7,16.239277124404907,1.009368896484375,60,0,60.0,60.0,64,0,1
212.192.246.198,192.168.10.5,2022-08-17 08:51:25,9,8,17,0,25,17,0.2713639736175537,0.2524428367614746,112,0,0.2716679573059082,0.0014591217041015625,52,0,1
172.104.242.173,192.168.10.5,2022-08-17 08:51:25,2,2,4,0,5555,4,0.2693178653717041,0.2693178653717041,44,0,0.2692530155181885,0.2692530155181885,46,0,1
65.154.226.168,192.168.10.5,2022-08-17 08:51:27,6,1,7,0,80,7,16.23937177658081,1.019031047821045,60,0,60.0,60.0,64,0,1
101.32.75.144,192.168.10.5,2022-08-17 08:51:32,14,12,26,0,22,26,0.9707701206207275,0.0012471675872802734,676,0,1.119830846786499,0.0005941390991210938,492,0,1
103.217.219.82,192.168.10.5,2022-08-17 08:51:32,15,10,25,0,22,25,0.9789769649505615,0.00015211105346679688,676,0,1.1180229187011719,0.09620404243469238,492,0,1
160.44.201.156,192.168.10.5,2022-08-17 08:51:38,366,323,689,0,40520,28,0.29318690299987793,0.00045013427734375,11352,0,0.30561304092407227,9.5367431640625e-07,4136,0,1
