address,partner,date,rcv_packet_count,snd_packet_count,tcp_count,udp_count,most_port,port_count,rcv_max_int,rcv_min_int,rcv_max_len,rcv_min_len,snd_max_int,snd_min_int,snd_max_len,snd_min_len,label
162.216.150.60,192.168.10.5,202305172258,7,6,13,0,9081,1,44.388874,0.0,259,40,44.558718,0.0,60,44,1
162.216.150.226,192.168.10.5,202305172259,4,4,8,0,19296,1,1.22493,1e-06,44,44,1.377056,0.0,44,40,1
218.92.0.27,192.168.10.5,202305172259,1,1,2,0,22,1,-10000,-10000,40,40,-10000,-10000,52,52,1
192.168.3.118,172.29.148.192,202305172257,20,0,20,0,55443,1,12.841479,1.022463,60,60,-10000,-10000,-10000,-10000,0
192.241.209.125,192.168.10.5,202305172259,3,3,6,0,443,1,0.115211,0.00204,64,52,0.11725,0.000336,60,52,1
139.59.8.116,192.168.10.5,202305172259,5,4,9,0,11022,1,1.12587,0.0,60,52,1.121864,0.0,60,52,1
162.216.150.227,192.168.10.5,202305172258,7,6,13,0,9190,1,41.110822,0.0,377,40,41.278478,0.0,60,44,1
175.142.61.50,192.168.10.5,202305172259,4,3,7,0,3389,1,0.142304,0.000899,83,40,0.088549,0.049499,59,40,1
111.90.33.178,192.168.10.5,202305172259,7,6,13,0,3389,1,0.271366,0.0,83,40,0.271366,0.025731,59,40,1
137.220.228.91,192.168.10.5,202305172259,2,5,7,0,30006,1,15.51958,15.51958,44,40,8.248676,1.009854,44,44,1
194.87.151.184,192.168.10.5,202305172259,7,7,14,0,25,1,0.295481,0.248767,58,40,0.295182,0.000299,112,40,1
167.248.133.153,192.168.10.5,202305172259,2,1,3,0,5237,1,0.140083,0.140083,44,40,-10000,-10000,44,44,1
162.216.150.150,192.168.10.5,202305172259,4,4,8,0,34443,1,1.451298,0.0,44,44,1.348592,0.0,44,40,1
103.162.36.21,192.168.10.5,202305172259,4,3,7,0,3389,1,0.189392,0.002129,83,40,0.097633,0.09222,59,40,1
103.178.228.35,192.168.10.5,202305172259,11,7,18,0,5555,1,45.59476,0.0,402,40,1.773165,0.000399,199,44,1
167.248.133.37,192.168.10.5,202305172259,13,9,22,0,5237,1,1.159442,0.0,295,52,1.149359,0.0,60,52,1
162.142.125.160,192.168.10.5,202305172259,2,1,3,0,5237,1,0.154904,0.154904,60,40,-10000,-10000,60,60,1
