address,partner,date,rcv_packet_count,snd_packet_count,tcp_count,udp_count,most_port,port_count,rcv_max_int,rcv_min_int,rcv_max_len,rcv_min_len,snd_max_int,snd_min_int,snd_max_len,snd_min_len,label
104.255.228.81,192.168.10.5,202304091859,7,6,13,0,3389,1,0.215998,0.000894,486,40,0.108086,0.012038,381,40,1
103.156.93.143,192.168.10.5,202304091859,5,5,10,0,3390,1,1.109588,0.000677,59,40,1.005933,0.0,52,40,1
104.237.62.211,192.168.10.5,202304091859,11,13,24,0,37906,1,0.124115,0.0,2628,52,1.01832,0.0,575,40,1
202.189.15.230,192.168.10.5,202304091859,5,5,10,0,5900,1,0.055666,0.0,52,40,0.054651,0.000799,52,40,1
167.94.145.24,192.168.10.5,202304091859,2,1,3,0,37738,1,0.244868,0.244868,44,40,-10000,-10000,44,44,1
167.94.145.59,192.168.10.5,202304091859,14,10,24,0,37738,1,1.254835,0.0,295,40,1.249144,0.0,60,40,1
61.177.172.104,192.168.10.5,202304091859,1,8,9,0,22,1,-10000,-10000,40,40,21.597761,0.632934,52,52,1
107.170.241.33,192.168.10.5,202304091859,1,6,7,0,11443,1,-10000,-10000,44,44,16.198287,1.005586,44,44,1
89.248.165.59,192.168.10.5,202304091859,1,1,2,0,1009,1,-10000,-10000,44,44,-10000,-10000,40,40,1
192.241.199.18,192.168.10.5,202304091859,4,4,8,0,7473,1,1.120052,0.000603,60,52,1.120442,0.0,60,52,1
167.94.146.22,192.168.10.5,202304091900,1,1,2,0,952,1,-10000,-10000,44,44,-10000,-10000,40,40,1
89.248.163.189,192.168.10.5,202304091900,3,1,4,0,3213,1,0.245094,0.005886,44,40,-10000,-10000,44,44,1
167.94.138.129,192.168.10.5,202304091900,2,1,3,0,8833,1,0.230481,0.230481,44,40,-10000,-10000,44,44,1
167.94.145.92,192.168.10.5,202304091900,2,1,3,0,445,1,0.245435,0.245435,44,40,-10000,-10000,44,44,1
167.94.138.51,192.168.10.5,202304091900,13,10,23,0,8833,1,1.203467,0.0,295,52,1.199807,0.0,60,40,1
162.142.125.160,192.168.10.5,202304091900,2,1,3,0,8833,1,0.13793,0.13793,60,40,-10000,-10000,60,60,1
91.240.118.224,192.168.10.5,202304091900,3,1,4,0,5530,1,0.282149,0.00324,44,40,-10000,-10000,44,44,1
167.94.145.58,192.168.10.5,202304091900,11,9,20,0,445,1,15.010318,0.0,158,52,14.966677,0.001301,141,52,1
157.245.222.108,192.168.10.5,202304091900,18,15,33,0,9009,2,13.729573,0.0,303,52,13.929029,0.0,60,52,1
220.220.248.1,192.168.10.5,202304091853,31,31,0,62,42853,27,60.537541,0.0,126,91,60.537073,0.0,75,58,1
