address,partner,date,rcv_packet_count,snd_packet_count,tcp_count,udp_count,most_port,port_count,rcv_max_int,rcv_min_int,rcv_max_len,rcv_min_len,snd_max_int,snd_min_int,snd_max_len,snd_min_len,label
115.186.182.52,192.168.10.5,202208051459,14,14,28,0,22,1,1.197559,0.0,492,52,0.976329,0.001095,676,52,1
207.249.96.104,192.168.10.5,202208051459,73,90,163,0,22,1,1.211511,0.0,584,52,0.971541,0.00095,676,52,1
216.218.206.66,192.168.10.5,202208051459,5,5,10,0,8010,1,1.125742,0.001195,168,40,1.00572,6.9e-05,48,40,1
45.61.184.118,192.168.10.5,202208051459,10,7,17,0,81,1,0.204972,0.000299,78,40,0.317838,0.001059,489,44,1
139.59.23.111,192.168.10.5,202208051459,14,14,28,0,22,1,1.13439,0.000863,796,52,0.975644,9.1e-05,900,52,1
192.241.219.166,192.168.10.5,202208051458,1,6,7,0,3389,1,-10000,-10000,44,44,16.197354,1.024331,44,44,1
203.151.83.7,192.168.10.5,202208051459,14,14,28,0,22,1,1.127249,0.000859,492,52,0.97304,0.001346,676,52,1
45.227.254.20,192.168.10.5,202208051459,5,5,10,0,5900,1,0.301467,0.001112,52,40,0.301816,0.000851,52,40,1
118.123.105.85,192.168.10.5,202208051459,7,6,13,0,33890,1,15.918687,0.0,94,40,16.127566,6.1e-05,60,44,1
185.195.26.17,192.168.10.5,202208051459,15,15,30,0,22,1,1.321399,0.000598,492,52,1.005249,0.000197,676,52,1
164.92.117.121,192.168.10.5,202208051459,73,91,164,0,22,1,1.124854,0.0,584,52,0.971334,0.000546,676,52,1
197.159.210.174,192.168.10.5,202208051459,2,1,3,0,1433,1,0.579671,0.579671,44,40,-10000,-10000,44,44,1
103.114.104.92,192.168.10.5,202208051459,6,7,13,0,25,1,0.098337,0.002057,52,40,0.098092,0.000353,112,40,1
141.98.10.61,192.168.10.5,202208051500,2,1,3,0,8008,1,0.294319,0.294319,44,40,-10000,-10000,44,44,1
92.63.197.83,192.168.10.5,202208051500,3,1,4,0,43417,1,0.222543,0.009504,44,40,-10000,-10000,44,44,1
103.214.4.5,192.168.10.5,202208051500,1,1,2,0,623,1,-10000,-10000,44,44,-10000,-10000,40,40,1
125.209.125.230,192.168.10.5,202208051500,4,3,7,0,3389,1,0.244598,0.000855,83,40,0.156851,0.08369,59,40,1
107.154.193.12,192.168.10.5,202208051459,4,24,28,0,80,1,1.228488,0.368154,64,64,13.369169,0.075891,60,60,1
139.59.23.111,192.168.10.5,202208051500,15,14,29,0,22,1,1.123682,0.000263,796,52,0.962757,0.000321,900,52,1
207.249.96.104,192.168.10.5,202208051500,14,15,29,0,22,1,1.202322,0.0,492,52,0.977236,0.000246,676,52,1
115.186.182.52,192.168.10.5,202208051500,14,14,28,0,22,1,1.188089,0.000258,492,52,0.972499,0.001048,676,52,1
103.100.14.183,192.168.10.5,202208051500,2,1,3,0,23,1,0.172434,0.172434,44,40,-10000,-10000,44,44,1
221.140.4.2,192.168.10.5,202208051500,12,15,27,0,22,1,1.055462,0.0,492,52,0.971597,0.0,676,52,1
164.92.117.121,192.168.10.5,202208051500,14,14,28,0,22,1,1.130512,0.0,492,52,0.974652,0.0008,676,52,1
172.247.168.149,192.168.10.5,202208051459,7,37,44,0,80,1,18.104852,0.291931,64,64,10.541187,0.004879,60,60,1
208.180.16.38,192.168.10.5,202208051501,12,14,26,0,22,1,1.214812,0.0,492,52,0.9701,0.000603,676,52,1
203.151.83.7,192.168.10.5,202208051501,14,15,29,0,22,1,1.141277,0.0,492,52,0.967802,9.3e-05,676,52,1
193.57.40.49,192.168.10.5,202208051501,3,1,4,0,5773,1,0.237725,0.011887,44,40,-10000,-10000,44,44,1
205.205.150.57,192.168.10.5,202208051452,7,42,49,0,7071,7,87.338151,73.554079,52,52,55.718337,1.00448,52,52,1
103.188.176.3,192.168.10.5,202208051501,17,14,31,0,22,1,0.404253,0.0,1252,52,0.377398,0.0009,699,52,1
45.227.254.20,192.168.10.5,202208051501,5,5,10,0,5900,1,0.286595,0.001196,52,40,0.28585,0.001496,52,40,1
175.143.107.25,192.168.10.5,202208051501,4,3,7,0,3389,1,0.3054,0.000896,83,40,0.274657,0.029794,59,40,1
139.59.23.111,192.168.10.5,202208051501,14,13,27,0,22,1,1.131428,0.000859,796,52,0.975982,0.000896,900,52,1
93.174.93.227,192.168.10.5,202208051501,3,1,4,0,32521,1,0.247852,0.00686,44,40,-10000,-10000,44,44,1
207.249.96.104,192.168.10.5,202208051501,14,14,28,0,22,1,1.210098,0.0,492,52,0.973223,0.000802,676,52,1
45.143.203.15,192.168.10.5,202208051502,3,1,4,0,9999,1,0.244862,0.007167,44,40,-10000,-10000,44,44,1
