address,partner,date,rcv_packet_count,snd_packet_count,tcp_count,udp_count,most_port,port_count,rcv_max_int,rcv_min_int,rcv_max_len,rcv_min_len,snd_max_int,snd_min_int,snd_max_len,snd_min_len,label
89.248.165.100,192.168.10.5,202304091758,3,1,4,0,10200,1,0.223276,0.030976,44,40,-10000,-10000,44,44,1
103.72.147.115,192.168.10.5,202304091759,19,19,38,0,21242,1,1.064993,0.0,322,52,1.061956,0.0,60,52,1
173.231.16.76,192.168.10.5,202304091759,11,13,24,0,52030,1,0.143567,0.0,2628,52,0.139725,0.0,575,40,1
185.156.73.91,192.168.10.5,202304091759,3,1,4,0,25070,1,0.233259,0.006835,44,40,-10000,-10000,44,44,1
216.244.210.65,192.168.10.5,202304091759,2,1,3,0,23,1,0.323828,0.323828,44,40,-10000,-10000,44,44,1
38.68.14.10,192.168.10.5,202304091758,8,6,14,0,3389,1,39.668799,0.000266,83,40,39.822514,0.039001,59,40,1
51.68.202.104,192.168.10.5,202304091758,16,78,94,0,80,2,0.99493,0.006238,52,52,10.798902,0.0,52,44,1
36.105.100.113,192.168.10.5,202304091759,5,5,10,0,5900,1,0.301472,0.0,64,52,0.300977,0.000495,64,52,1
167.248.133.165,192.168.10.5,202304091759,2,1,3,0,45111,1,0.133154,0.133154,44,40,-10000,-10000,44,44,1
167.248.133.127,192.168.10.5,202304091759,14,10,24,0,45111,1,1.144881,0.0,295,40,1.140069,0.0,60,40,1
162.142.125.160,192.168.10.5,202304091759,2,1,3,0,45111,1,0.137039,0.137039,60,40,-10000,-10000,60,60,1
91.223.169.83,192.168.10.5,202304091759,2,1,3,0,2080,1,0.290433,0.290433,44,40,-10000,-10000,44,44,1
45.88.66.117,192.168.10.5,202304091759,10,15,25,0,25,1,4.749287,0.002351,52,40,3.728115,0.0,112,40,1
107.170.251.16,192.168.10.5,202304091759,5,5,10,0,8998,1,1.121552,1e-06,76,52,1.005829,0.0,60,52,1
175.147.208.116,192.168.10.5,202304091759,26,22,48,0,23,1,15.502049,0.090598,60,44,15.593432,1e-06,60,44,1
125.74.8.79,192.168.10.5,202304091800,52,47,99,0,1433,1,5.47592,0.0,194,40,5.734014,0.0,114,40,1
