address,partner,date,rcv_packet_count,snd_packet_count,tcp_count,udp_count,most_port,port_count,rcv_max_int,rcv_min_int,rcv_max_len,rcv_min_len,snd_max_int,snd_min_int,snd_max_len,snd_min_len,label
193.233.21.79,192.168.10.5,202305091058,3,4,7,0,30022,1,1.311589,1.293655,52,40,1.295208,0.0,52,40,1
153.231.216.179,192.168.10.5,202305091058,4,4,8,0,6002,1,1.025498,0.000146,60,52,1.02272,0.0,60,52,1
153.231.216.190,192.168.10.5,202305091058,4,4,8,0,10000,1,1.02082,0.000991,60,52,1.024163,0.0,60,52,1
122.114.15.135,192.168.10.5,202305091059,5,5,10,0,5900,1,0.10755,0.0,64,52,0.107174,0.000652,64,52,1
150.249.227.169,192.168.10.5,202305091058,8,8,16,0,10023,2,1.378967,1e-06,60,52,1.379466,0.0,60,52,1
153.231.226.163,192.168.10.5,202305091059,4,4,8,0,2386,1,1.017424,0.003576,60,52,1.016893,0.0,60,52,1
103.179.184.109,192.168.10.5,202305091059,4,3,7,0,3389,1,0.223441,0.000692,83,40,0.152838,0.071493,59,40,1
106.91.114.59,192.168.10.5,202305091059,2,2,4,0,23,1,1.266367,1.266367,44,40,1.025486,1.025486,44,44,1
35.195.93.98,192.168.10.5,202305091059,3,3,6,0,443,1,0.22994,0.012833,314,52,0.242773,0.0,60,52,1
114.132.156.71,192.168.10.5,202305091059,5,5,10,0,5900,1,0.385178,1e-06,64,52,0.398837,0.000425,64,52,1
167.172.208.213,192.168.10.5,202305091059,12,9,21,0,80,1,5.11567,0.0,70,52,5.233355,0.0,12670,52,1
114.132.248.19,192.168.10.5,202305091059,6,7,13,0,5900,1,1.000777,0.0,64,52,1.000777,0.001149,64,52,1
111.121.195.8,192.168.10.5,202305091059,16,19,35,0,22,1,1.914256,0.000889,836,52,0.97419,0.000155,900,52,1
106.55.7.207,192.168.10.5,202305091059,4,7,11,0,5900,1,5.010646,0.213182,60,40,2.355906,0.000149,64,52,1
194.26.29.195,192.168.10.5,202305091059,3,1,4,0,5086,1,0.286907,0.029451,44,40,-10000,-10000,44,44,1
159.89.161.0,192.168.10.5,202305091058,7,5,12,0,50022,1,38.336326,0.0,60,40,38.448673,0.0,60,44,1
162.142.125.92,192.168.10.5,202305091059,2,1,3,0,12438,1,0.151988,0.151988,44,40,-10000,-10000,44,44,1
150.249.227.166,192.168.10.5,202305091059,4,4,8,0,2323,1,1.020862,0.001228,60,52,1.016699,0.0,60,52,1
153.231.226.165,192.168.10.5,202305091058,8,8,16,0,8023,2,32.828556,0.000892,60,52,32.82879,0.0,60,52,1
162.142.125.224,192.168.10.5,202305091059,14,9,23,0,12438,1,1.15906,0.0,295,40,1.155798,0.0,60,52,1
123.254.104.146,192.168.10.5,202305091059,5,3,8,0,3389,1,0.173349,0.000932,83,40,0.114147,0.072217,59,40,1
218.92.0.24,192.168.10.5,202305091059,17,19,36,0,22,1,2.005405,0.001259,908,40,2.005602,0.00076,676,52,1
149.129.220.222,192.168.10.5,202305091100,6,4,10,0,22,1,0.097294,0.0,44,40,0.097035,0.0002,63,40,1
124.222.93.58,192.168.10.5,202305091100,5,5,10,0,5900,1,0.184239,0.0,64,52,0.183655,0.000584,64,52,1
124.223.169.131,192.168.10.5,202305091100,5,5,10,0,5900,1,0.2204,0.0,64,52,0.221144,0.000798,64,52,1
162.142.125.86,192.168.10.5,202305091100,2,1,3,0,15000,1,0.144806,0.144806,44,40,-10000,-10000,44,44,1
103.179.184.109,192.168.10.5,202305091100,4,3,7,0,3389,1,0.213905,0.005562,83,40,0.202077,0.039642,59,40,1
124.222.197.135,192.168.10.5,202305091100,5,5,10,0,5900,1,0.219099,0.0,64,52,0.220112,0.000792,64,52,1
80.82.70.228,192.168.10.5,202305091100,6,5,11,0,60000,1,1.246103,0.0,44,40,1.244163,0.0,44,40,1
211.45.114.13,192.168.10.5,202305091059,16,13,29,0,3389,1,17.714051,0.0,83,40,17.773146,0.0,59,40,1
162.142.125.12,192.168.10.5,202305091100,14,10,24,0,15000,1,1.16336,0.0,295,40,1.15693,0.0,60,40,1
94.102.61.47,192.168.10.5,202305091059,7,11,18,0,3349,1,38.346093,1e-06,259,44,16.240058,0.0,60,44,1
27.254.235.3,192.168.10.5,202305091100,12,13,25,0,22,1,1.121414,0.0,1028,52,0.971539,0.000553,699,52,1
146.88.240.4,192.168.10.5,202305091100,1,0,0,1,123,1,-10000,-10000,76,76,-10000,-10000,-10000,-10000,1
153.231.215.11,192.168.10.5,202305091100,4,4,8,0,8090,1,1.022064,0.000894,60,52,1.019159,0.0,60,52,1
153.231.227.226,192.168.10.5,202305091100,4,4,8,0,8887,1,1.021083,0.005938,60,52,1.018825,0.0,60,52,1
153.231.216.190,192.168.10.5,202305091100,4,4,8,0,50231,1,1.01967,0.011911,60,52,1.034295,0.0,60,52,1
34.77.127.183,192.168.10.5,202305091100,6,5,11,0,16010,1,1.236301,0.000296,316,52,1.008273,0.0,60,52,1
61.177.173.37,192.168.10.5,202305091100,11,11,22,0,22,1,0.503408,6.1e-05,908,52,0.461752,0.000545,699,52,1
153.231.227.230,192.168.10.5,202305091100,4,4,8,0,50001,1,1.019691,0.009546,60,52,1.018823,1e-06,60,52,1
153.231.226.164,192.168.10.5,202305091100,4,4,8,0,20077,1,1.026862,0.003513,60,52,1.017328,1e-06,60,52,1
153.231.215.13,192.168.10.5,202305091100,4,4,8,0,9002,1,1.022099,1e-06,60,52,1.021628,0.0,60,52,1
153.231.227.227,192.168.10.5,202305091100,4,4,8,0,4719,1,1.02116,0.003576,60,52,1.023015,1e-06,60,52,1
150.249.227.165,192.168.10.5,202305091100,4,4,8,0,10023,1,1.018352,0.000203,60,52,1.016873,0.000101,60,52,1
153.231.216.181,192.168.10.5,202305091100,8,8,16,0,4023,2,2.717108,0.004477,60,52,2.717403,0.0,60,52,1
153.231.216.220,192.168.10.5,202305091100,4,4,8,0,8023,1,1.028012,0.000891,60,52,1.021069,0.0,60,52,1
153.231.215.14,192.168.10.5,202305091100,8,8,16,0,51145,2,1.485375,0.001116,60,52,1.485729,0.0,60,52,1
91.240.118.221,192.168.10.5,202305091100,3,1,4,0,8821,1,0.271379,0.003554,44,40,-10000,-10000,44,44,1
153.231.216.188,192.168.10.5,202305091100,8,8,16,0,9999,2,7.67202,0.001327,60,52,7.672463,0.0,60,52,1
106.12.29.34,192.168.10.5,202305091100,5,5,10,0,5900,1,0.426872,0.0,64,52,0.222598,0.202842,64,52,1
103.207.36.13,192.168.10.5,202305091100,3,1,4,0,3389,1,1.588355,0.097087,44,40,-10000,-10000,44,44,1
103.162.36.21,192.168.10.5,202305091100,8,6,14,0,3389,1,24.614421,0.0,83,40,24.711764,0.04354,59,40,1
61.1.155.95,192.168.10.5,202305091101,1,0,1,0,445,1,-10000,-10000,48,48,-10000,-10000,-10000,-10000,1
101.34.37.129,192.168.10.5,202305091101,6,6,12,0,5900,1,0.449521,1e-06,64,52,0.449521,0.000947,64,52,1
153.231.227.213,192.168.10.5,202305091101,4,4,8,0,2323,1,1.022964,0.010374,60,52,1.018642,0.0,60,52,1
167.94.138.106,192.168.10.5,202305091101,2,1,3,0,23,1,0.203414,0.203414,44,40,-10000,-10000,44,44,1
