address,partner,date,rcv_packet_count,snd_packet_count,tcp_count,udp_count,most_port,port_count,rcv_max_int,rcv_min_int,rcv_max_len,rcv_min_len,snd_max_int,snd_min_int,snd_max_len,snd_min_len,label
124.78.206.79,192.168.10.5,202304091557,5,6,11,0,5900,1,0.18079,1e-06,64,52,0.17945,0.0,64,52,1
185.225.74.209,192.168.10.5,202304091557,2,1,3,0,1081,1,0.354725,0.354725,44,40,-10000,-10000,44,44,1
193.163.125.166,192.168.10.5,202304091557,2,1,3,0,5111,1,0.262817,0.262817,44,40,-10000,-10000,44,44,1
96.1.64.194,192.168.10.5,202304091557,12,14,26,0,22,1,1.217179,1e-06,1028,52,0.979041,0.000808,676,52,1
159.89.124.112,192.168.10.5,202304091557,6,5,11,0,3268,1,3.396241,0.021141,594,52,3.598891,0.0,60,52,1
198.199.77.231,192.168.10.5,202304091557,4,4,8,0,7484,1,1.167713,0.003282,60,52,1.1674,0.0,60,52,1
193.35.18.163,192.168.10.5,202304091558,3,1,4,0,25565,1,0.235318,0.002316,44,40,-10000,-10000,44,44,1
202.150.153.76,192.168.10.5,202304091558,1,0,0,1,1027,1,-10000,-10000,103,103,-10000,-10000,-10000,-10000,1
23.225.191.123,192.168.10.5,202304091558,13,16,29,0,22,1,0.809391,0.000596,1028,52,0.673512,4.9e-05,676,52,1
92.118.39.109,192.168.10.5,202304091558,20,12,32,0,443,2,0.284834,0.0,569,52,0.278896,0.0,10854,52,1
38.68.14.10,192.168.10.5,202304091558,4,4,8,0,3389,1,0.189737,0.000112,83,40,0.151808,0.000211,59,40,1
104.237.62.211,192.168.10.5,202304091558,11,13,24,0,35986,1,0.126886,0.0,2628,52,0.119022,0.0,575,40,1
45.88.66.117,192.168.10.5,202304091558,7,8,15,0,25,1,0.288082,0.000887,52,40,0.287721,0.000361,112,40,1
93.56.205.216,192.168.10.5,202304091558,3,4,7,0,8000,1,1.260875,0.552467,107,40,1.558194,1e-06,44,40,1
