address,partner,date,rcv_packet_count,snd_packet_count,tcp_count,udp_count,most_port,port_count,rcv_max_int,rcv_min_int,rcv_max_len,rcv_min_len,snd_max_int,snd_min_int,snd_max_len,snd_min_len,label
89.248.165.155,192.168.10.5,202306020757,60,48,108,0,12693,3,27.558388,0.0,86,40,27.826136,0.0,52,40,1
31.41.244.108,192.168.10.5,202306020759,5,5,10,0,5900,1,0.289835,0.0,64,52,0.288812,0.001023,64,52,1
162.216.150.134,192.168.10.5,202306020758,8,6,14,0,9919,1,45.651188,0.0,377,40,45.820808,1e-06,60,44,1
128.116.70.35,192.168.10.5,202306020757,6,20,26,0,80,2,51.162717,0.179656,52,40,19.609673,0.242519,52,52,1
162.243.135.24,192.168.10.5,202306020759,5,5,10,0,8123,1,1.120069,0.0,76,52,1.005458,0.0,60,52,1
45.86.190.21,192.168.10.5,202306020759,5,5,10,0,5900,1,0.264062,0.006226,64,52,0.265875,0.00155,64,52,1
58.211.207.70,192.168.10.5,202306020759,5,5,10,0,5900,1,0.223281,0.001046,64,52,0.222791,0.001545,64,52,1
89.248.168.220,192.168.10.5,202306020759,3,1,4,0,56423,1,0.23589,0.001833,44,40,-10000,-10000,44,44,1
162.243.160.200,192.168.10.5,202306020759,4,4,8,0,6040,1,1.166236,0.0,60,52,1.161458,0.0,60,52,1
94.102.49.43,192.168.10.5,202306020759,6,2,8,0,51344,2,6.037111,0.000635,44,40,6.272209,6.272209,44,44,1
54.39.186.162,192.168.10.5,202306020800,4,3,7,0,3389,1,0.237119,0.0,83,40,0.169082,0.065699,59,40,1
59.110.153.175,192.168.10.5,202306020800,7,3,10,0,6379,1,0.122122,0.0,66,40,0.124746,0.006216,60,40,1
89.248.168.42,192.168.10.5,202306020800,3,1,4,0,50003,1,0.247584,0.000648,44,40,-10000,-10000,44,44,1
207.244.82.219,192.168.10.5,202306020800,4,4,8,0,3389,1,0.272719,0.0,83,40,0.222515,0.0,59,40,1
83.48.70.199,192.168.10.5,202306020759,12,9,21,0,3389,1,50.309805,0.0,83,40,50.621039,0.01913,59,40,1
113.230.247.81,192.168.10.5,202306020800,6,9,15,0,23,1,30.708668,0.095076,60,44,15.535052,0.104924,60,44,1
